元データ,Channel ID,関数でチャレンジ（重すぎる）,もりゆか検証中：GASでチャレンジ,GAS用✍
youtube.com::afv_user_id_4b2j0oY5iop4cqREcBGs3A,UC4b2j0oY5iop4cqREcBGs3A,ひみつ基地。 - YouTube,YouTube,https://www.youtube.com/channel/UC4b2j0oY5iop4cqREcBGs3A
youtube.com::afv_user_id_SxwcQnzA5K6DvofvBn6ATA,UCSxwcQnzA5K6DvofvBn6ATA,King & Prince - YouTube,ひみつ基地。 - YouTube,https://www.youtube.com/@Himitsu-Kichi/featured
youtube.com::afv_user_id_ln9P4Qm3-EAY4aiEPmRwEA,UCln9P4Qm3-EAY4aiEPmRwEA,Ado - YouTube,YouTube,https://www.youtube.com/channel/UCln9P4Qm3-EAY4aiEPmRwEA
youtube.com::afv_user_id_l8E6NsjN979gbMBdztF48g,UCl8E6NsjN979gbMBdztF48g,岡野タケシ弁護士【アトム法律事務所】 - YouTube,YouTube,https://www.youtube.com/channel/UCl8E6NsjN979gbMBdztF48g
youtube.com::afv_user_id_9zY_E8mcAo_Oq772LEZq8Q,UC9zY_E8mcAo_Oq772LEZq8Q,THE FIRST TAKE - YouTube,YouTube,https://www.youtube.com/channel/UC9zY_E8mcAo_Oq772LEZq8Q
youtube.com::afv_user_id_UCeZaZeJbEYAAzvMgrKOPQ,UCUCeZaZeJbEYAAzvMgrKOPQ,Kenshi Yonezu 米津玄師 - YouTube,YouTube,https://www.youtube.com/channel/UCUCeZaZeJbEYAAzvMgrKOPQ
youtube.com::afv_user_id_uFPaemAaMR8R5cHzjy23dQ,UCuFPaemAaMR8R5cHzjy23dQ,Snow Man - YouTube,YouTube,https://www.youtube.com/channel/UCuFPaemAaMR8R5cHzjy23dQ
youtube.com::afv_user_id_MJiPpN_09F0aWpQrgbc_qg,UCMJiPpN_09F0aWpQrgbc_qg,キヨ。 - YouTube,YouTube,https://www.youtube.com/channel/UCMJiPpN_09F0aWpQrgbc_qg
youtube.com::afv_user_id_bZvkG2uAgr6Oiva4FytscQ,UCbZvkG2uAgr6Oiva4FytscQ,oricon - YouTube,YouTube,https://www.youtube.com/channel/UCbZvkG2uAgr6Oiva4FytscQ
youtube.com::afv_user_id_vm-1tfv4nk4dz_EHeRGbXw,UCvm-1tfv4nk4dz_EHeRGbXw,UNIQLO ユニクロ - YouTube,YouTube,https://www.youtube.com/channel/UCvm-1tfv4nk4dz_EHeRGbXw
youtube.com::afv_user_id_vpredjG93ifbCP1Y77JyFA,UCvpredjG93ifbCP1Y77JyFA,Ayase / YOASOBI - YouTube,YouTube,https://www.youtube.com/channel/UCvpredjG93ifbCP1Y77JyFA
youtube.com::afv_user_id_ofy9EdEghQVcKerYp8gSUw,UCofy9EdEghQVcKerYp8gSUw,MASSA/Anime Figure - YouTube,YouTube,https://www.youtube.com/channel/UCofy9EdEghQVcKerYp8gSUw
youtube.com::afv_user_id_9UAxVR4Tym2PIICVfLTZUw,UC9UAxVR4Tym2PIICVfLTZUw,混血のカレコレ - YouTube,YouTube,https://www.youtube.com/channel/UC9UAxVR4Tym2PIICVfLTZUw
youtube.com::afv_user_id_1oPBUWifc0QOOY8DEKhLuQ,UC1oPBUWifc0QOOY8DEKhLuQ,avex - YouTube,YouTube,https://www.youtube.com/channel/UC1oPBUWifc0QOOY8DEKhLuQ
youtube.com::afv_user_id_zKa8fRPoCbKh8O9yW2JK2g,UCzKa8fRPoCbKh8O9yW2JK2g,桐崎栄二.きりざきえいじ - YouTube,YouTube,https://www.youtube.com/channel/UCzKa8fRPoCbKh8O9yW2JK2g
youtube.com::afv_user_id_wjAKjycHHT1QzHrQN5Stww,UCwjAKjycHHT1QzHrQN5Stww,SixTONES - YouTube,YouTube,https://www.youtube.com/channel/UCwjAKjycHHT1QzHrQN5Stww
youtube.com::afv_user_id_8_wmm5DX9mb4jrLiw8ZYzw,UC8_wmm5DX9mb4jrLiw8ZYzw,スカイピース - YouTube,YouTube,https://www.youtube.com/channel/UC8_wmm5DX9mb4jrLiw8ZYzw
youtube.com::afv_user_id_wrxf28t_RyA23YV5EKutwg,UCwrxf28t_RyA23YV5EKutwg,パンナコタpannakota - YouTube,YouTube,https://www.youtube.com/channel/UCwrxf28t_RyA23YV5EKutwg
youtube.com::afv_user_id_pGpA7mSYmNJjLiJxKso5QA,UCpGpA7mSYmNJjLiJxKso5QA,しもふりチューブ - YouTube,YouTube,https://www.youtube.com/channel/UCpGpA7mSYmNJjLiJxKso5QA
youtube.com::afv_user_id_BKqbSl9bK_ln9zZ-C5rP0Q,UCBKqbSl9bK_ln9zZ-C5rP0Q,ばんばんざい - YouTube,YouTube,https://www.youtube.com/channel/UCBKqbSl9bK_ln9zZ-C5rP0Q
youtube.com::afv_user_id_bRQJm2CgwqS9JSO4cf3HsA,UCbRQJm2CgwqS9JSO4cf3HsA,sion pk - YouTube,YouTube,https://www.youtube.com/channel/UCbRQJm2CgwqS9JSO4cf3HsA
youtube.com::afv_user_id_UdKnSB7YEXAvnMMoToohYw,UCUdKnSB7YEXAvnMMoToohYw,ジェームズ J - YouTube,YouTube,https://www.youtube.com/channel/UCUdKnSB7YEXAvnMMoToohYw
youtube.com::afv_user_id_8meHqoXa7z6I6-jiGgfL0w,UC8meHqoXa7z6I6-jiGgfL0w,KaoJapan - YouTube,YouTube,https://www.youtube.com/channel/UC8meHqoXa7z6I6-jiGgfL0w
youtube.com::afv_user_id_7UmLmEh9zQW-YV2wCHHJNw,UC7UmLmEh9zQW-YV2wCHHJNw,ハネハネ - YouTube,YouTube,https://www.youtube.com/channel/UC7UmLmEh9zQW-YV2wCHHJNw
youtube.com::afv_user_id_h990JFF8shUqSRhCvvztQg,UCh990JFF8shUqSRhCvvztQg,Top Talent Japan - YouTube,YouTube,https://www.youtube.com/channel/UCh990JFF8shUqSRhCvvztQg
youtube.com::afv_user_id_Q_MqAw18jFTlBB-f8BP7dw,UCQ_MqAw18jFTlBB-f8BP7dw,QuizKnock - YouTube,YouTube,https://www.youtube.com/channel/UCQ_MqAw18jFTlBB-f8BP7dw
youtube.com::afv_user_id_T0x6RQTeoZByaYt_k1Ranw,UCT0x6RQTeoZByaYt_k1Ranw,おるたなChannel - YouTube,,
youtube.com::afv_user_id_EA8Umn4azMfY2-qic1lCOA,UCEA8Umn4azMfY2-qic1lCOA,タケヤキ翔/ラトゥラトゥ - YouTube,,
youtube.com::afv_user_id_e9-HzBjfcvFDMc_TeSQjyQ,UCe9-HzBjfcvFDMc_TeSQjyQ,KfamilyFan - YouTube,,
youtube.com::afv_user_id_IOk-Q5kyDtSRaTIW7hIsng,UCIOk-Q5kyDtSRaTIW7hIsng,平成フラミンゴ - YouTube,,
youtube.com::afv_user_id_6UHYyVoCrAUBsxF-ortrew,UC6UHYyVoCrAUBsxF-ortrew,StudyInネイティブ英会話 - YouTube,,
youtube.com::afv_user_id_7umTzIrIJq8Xh428lj0M5A,UC7umTzIrIJq8Xh428lj0M5A,ヒューマンバグ大学_闇の漫画 - YouTube,,
youtube.com::afv_user_id_dMGYXL38w6htx6Yf9YJa-w,UCdMGYXL38w6htx6Yf9YJa-w,プロジェクトセカイ カラフルステージ! feat. 初音ミク - YouTube,,
youtube.com::afv_user_id_rMST-VTtx4SYr8CNJHsbnQ,UCrMST-VTtx4SYr8CNJHsbnQ,Japanese Calligrapher Takumi - YouTube,,
youtube.com::afv_user_id_pFgmZm65yOU5X-hmWkWjuw,UCpFgmZm65yOU5X-hmWkWjuw,Mrs. GREEN APPLE - YouTube,,
youtube.com::afv_user_id__MTz4eFIPt2ihuqFk8tMqQ,UC_MTz4eFIPt2ihuqFk8tMqQ,かっつー - YouTube,,
youtube.com::afv_user_id_LOl-BrCoVqzSnBsjemMkeQ,UCLOl-BrCoVqzSnBsjemMkeQ,【Gymnastics】Shidaks - YouTube,,
youtube.com::afv_user_id_PLeqi7rIqS9uY4_TrSUOMg,UCPLeqi7rIqS9uY4_TrSUOMg,あおぎり高校/Vtuber High School - YouTube,,
youtube.com::afv_user_id_DtVdj7sm41Ysg3XSiSUH3w,UCDtVdj7sm41Ysg3XSiSUH3w,なにわ男子 - YouTube,,
youtube.com::afv_user_id_642pLj4GXSj-0Ybdx3ytmA,UC642pLj4GXSj-0Ybdx3ytmA,Japanese Ninja Kajisac TV - YouTube,,
youtube.com::afv_user_id_ZMRuagdTBKmmrFtSMN48Xw,UCZMRuagdTBKmmrFtSMN48Xw,牛沢 - YouTube,,
youtube.com::afv_user_id_IVqvhyo8ttjYOmMJuhq_YQ,UCIVqvhyo8ttjYOmMJuhq_YQ,RADWIMPS - YouTube,,
youtube.com::afv_user_id_--VXRpoDtokerOb5TDwE5g,UC--VXRpoDtokerOb5TDwE5g,Fly-N フライン - YouTube,,
youtube.com::afv_user_id_W01sMEVYQdhcvkrhbxdBpw,UCW01sMEVYQdhcvkrhbxdBpw,料理研究家リュウジのバズレシピ - YouTube,,
youtube.com::afv_user_id_aqAqZnmfcFuBSdDnpnyXqw,UCaqAqZnmfcFuBSdDnpnyXqw,Kitten Stories「パズにゃん」 - YouTube,,
youtube.com::afv_user_id_4gtGRAiS5msZfhEhdZO6hw,UC4gtGRAiS5msZfhEhdZO6hw,MANARUTAIマナル隊 - YouTube,,
youtube.com::afv_user_id_kGCQ4TN-8gvb8QCYIqygHw,UCkGCQ4TN-8gvb8QCYIqygHw,動画、はじめてみました【テレビ朝日公式】 - YouTube,,
youtube.com::afv_user_id_dAHaWcKdpbT5XkN2Er6BUQ,UCdAHaWcKdpbT5XkN2Er6BUQ,ONE PIECE Official YouTube Channel - YouTube,,
youtube.com::afv_user_id_Fbp2XdRpKfk7mYt_uT8dxw,UCFbp2XdRpKfk7mYt_uT8dxw,Kevin's English Room / 掛山ケビ志郎 - YouTube,,
youtube.com::afv_user_id_hn5TjkeEqd-JxzizMVSkOw,UChn5TjkeEqd-JxzizMVSkOw,ハヤトの野望 - YouTube,,
youtube.com::afv_user_id_TDMT3aL30noTVFgNPA9XtQ,UCTDMT3aL30noTVFgNPA9XtQ,東宝MOVIEチャンネル - YouTube,,
youtube.com::afv_user_id_UXfRsEIJ9xO1DT7TbEWksw,UCUXfRsEIJ9xO1DT7TbEWksw,E ve - YouTube,,
youtube.com::afv_user_id_rCxxPNHcM4btv65yI671gA,UCrCxxPNHcM4btv65yI671gA,Daikyo Security's Cute Uncle Channel - YouTube,,
youtube.com::afv_user_id_9UI_fNxTbfEJImAg5Y7pOw,UC9UI_fNxTbfEJImAg5Y7pOw,レインボーコントチャンネル - YouTube,,
youtube.com::afv_user_id_eyvzTqX-DA8lG0LCH33aGQ,UCeyvzTqX-DA8lG0LCH33aGQ,ポケるんTV - YouTube,,
youtube.com::afv_user_id_IR2mQ77wHrLMreV45nYhgw,UCIR2mQ77wHrLMreV45nYhgw,かまいたちチャンネル - YouTube,,
youtube.com::afv_user_id_5vqbtNnbOF2h7A_xlrIPUw,UC5vqbtNnbOF2h7A_xlrIPUw,ぽっぴんず - YouTube,,
youtube.com::afv_user_id_bIJSx4_d5fwmTXl0V9qMOg,UCbIJSx4_d5fwmTXl0V9qMOg,女子力高めな獅子原くん【YouTubeアニメ】 - YouTube,,
youtube.com::afv_user_id_quKQ87U-_9WNFwjJfCJzgA,UCquKQ87U-_9WNFwjJfCJzgA,Seasar Stationery - YouTube,,
youtube.com::afv_user_id_MPjR4XFspX9SGWW46RlP5Q,UCMPjR4XFspX9SGWW46RlP5Q,ちるふぃるむ〜猫と幼馴染の同居生活〜 - YouTube,,
youtube.com::afv_user_id_-I7KHWuazM1EEo9wzp0TrA,UC-I7KHWuazM1EEo9wzp0TrA,ZERO-UCHI Restart - YouTube,,
youtube.com::afv_user_id_T5BVYrrhS7gD5xzloZ8FhA,UCT5BVYrrhS7gD5xzloZ8FhA,バンカラジオ - YouTube,,
youtube.com::afv_user_id__SescfJ3NPoiFkYbnKnoqQ,UC_SescfJ3NPoiFkYbnKnoqQ,わんこそばOne-Co Soba Noodles - YouTube,,
youtube.com::afv_user_id_ChJ7RL6mr2lzHj_S1Y_eIA,UCChJ7RL6mr2lzHj_S1Y_eIA,KISHITAKU-TENCHO - YouTube,,
youtube.com::afv_user_id_gy1mxPcdm6d-NvUfmYrDWw,UCgy1mxPcdm6d-NvUfmYrDWw, Nakamoto couple's Okinawa life Vlog - YouTube,,
youtube.com::afv_user_id_Hy2kC9DmKCU6_QF9YHqpcw,UCHy2kC9DmKCU6_QF9YHqpcw,アイルトンモカ - YouTube,,
youtube.com::afv_user_id_4N9V8J-QDrNx7x1eDPE75A,UC4N9V8J-QDrNx7x1eDPE75A,わっさーふぁんくらぶ【公式】 - YouTube,,
youtube.com::afv_user_id_15ebOqdhmvl1eb0s0jk5aw,UC15ebOqdhmvl1eb0s0jk5aw,戦極MCBATTLE - YouTube,,
youtube.com::afv_user_id_-km1012mEUQQLGxggmrazw,UC-km1012mEUQQLGxggmrazw,Haiji's Japanese food collection - YouTube,,
youtube.com::afv_user_id_yhBnB7_27lhyaYgjCf9Z4g,UCyhBnB7_27lhyaYgjCf9Z4g,サントリー公式チャンネル （SUNTORY） - YouTube,,
youtube.com::afv_user_id_Cy_q-N7F2FOIZ6ZggHIAKg,UCCy_q-N7F2FOIZ6ZggHIAKg,Sony Music Japan - YouTube,,
youtube.com::afv_user_id_FCtAX45lgHcf4s0vAgAxww,UCFCtAX45lgHcf4s0vAgAxww,Satozaki Channel - YouTube,,
youtube.com::afv_user_id_4T-dSpkAT8xGprFjXpBeMw,UC4T-dSpkAT8xGprFjXpBeMw,エトラちゃんは見た! - YouTube,,
youtube.com::afv_user_id_76jgQBDaZuUFBsjDwgU_aw,UC76jgQBDaZuUFBsjDwgU_aw,ナたんとウたん - YouTube,,
youtube.com::afv_user_id_b-slPqk-FYuoIUJbRBABRw,UCb-slPqk-FYuoIUJbRBABRw,卓キチちゃんねる - YouTube,,
youtube.com::afv_user_id_VG4KpQRpA99jZk2hHZT9-Q,UCVG4KpQRpA99jZk2hHZT9-Q,テレビ東京 卓球チャンネル - YouTube,,
youtube.com::afv_user_id_rgHdSQWAXEv1QZpzgrJHnA,UCrgHdSQWAXEv1QZpzgrJHnA,"資生堂 Shiseido Co., Ltd. - YouTube",,
youtube.com::afv_user_id_wdphP6bpyIkhajgwzVgbVA,UCwdphP6bpyIkhajgwzVgbVA,芳賀セブンの部屋 - YouTube,,
youtube.com::afv_user_id_PKsFwt9ACF-EnJM3xN8wyQ,UCPKsFwt9ACF-EnJM3xN8wyQ,VAIENCE バイエンス - YouTube,,
